Name,SegmentTitle,FamilyTitle,ClassTitle,BrickTitle
Cola,Food/Beverage,Beverages,Non Alcoholic Beverages - Ready to Drink,Drinks Flavoured - Ready to Drink
Karlsberg Export,Food/Beverage,Beverages,Alcoholic Beverages (Includes De-Alcoholised Variants),Beer
Karlsberg ICED BLUE,Food/Beverage,Beverages,Alcoholic Beverages (Includes De-Alcoholised Variants),Beer
Coca-Cola light taste,Food/Beverage,Beverages,Non Alcoholic Beverages - Ready to Drink,Drinks Flavoured - Ready to Drink
Coca-Cola,Food/Beverage,Beverages,Non Alcoholic Beverages - Ready to Drink,Drinks Flavoured - Ready to Drink
Junge Brechbohnen,Food/Beverage,Vegetables - Unprepared/Unprocessed (Shelf Stable),Vegetables - Unprepared/Unprocessed (Shelf Stable),Vegetables - Unprepared/Unprocessed (Shelf Stable)
Tortenpfirsiche,Food/Beverage,Fruits - Unprepared/Unprocessed (Shelf Stable),Fruits - Unprepared/Unprocessed (Shelf Stable),Fruit - Unprepared/Unprocessed (Shelf Stable)
Gourmet-Frühstück,Food/Beverage,Prepared/Preserved Foods,Sweet Spreads,Jams/Marmalades (Shelf Stable)
Champignons,Food/Beverage,Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Vegetables - Prepared/Processed,Vegetables - Prepared/Processed (Shelf Stable)
Ednusscreme crunchy,Food/Beverage,Seasonings/Preservatives/Extracts,Sauces/Spreads/Dips/Condiments,Other Sauces Dipping/Condiments/Savoury Toppings/Savoury Spreads/Marinades (Shelf Stable)
"Die Ergiebige, 10% Fett",Food/Beverage,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Cream/Cream Substitutes,Cream (Shelf Stable)
Kännchen Sahne 12% Fett wärmebehandelt,Food/Beverage,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Cream/Cream Substitutes,Cream (Perishable)
Erbsen Dampfgegart,Food/Beverage,Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Vegetables - Prepared/Processed,Vegetables - Prepared/Processed (Shelf Stable)
Möhrchen,Food/Beverage,Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Vegetables - Prepared/Processed,Vegetables - Prepared/Processed (Shelf Stable)
Kaffeeweißer,Food/Beverage,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Milk/Milk Substitutes,Milk Substitutes (Shelf Stable)
Puderzucker,Food/Beverage,Confectionery/Sugar Sweetening Products,Sugars/Sugar Substitute Products,Sugar/Sugar Substitutes (Shelf Stable)
Kondensmilch,Food/Beverage,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes Variety Packs,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes Variety Packs
Orangensaft,Food/Beverage,Beverages,Non Alcoholic Beverages - Ready to Drink,Fruit Juice Drinks - Ready to Drink (Shelf Stable)
Haltbare Milch,Food/Beverage,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Milk/Milk Substitutes,Milk (Shelf Stable)
"Haltbare Vollmilch 3,5% Fett",Food/Beverage,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Milk/Milk Substitutes,Milk (Shelf Stable)
"Haltbare Vollmilch 3,5% Fett",Food/Beverage,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Milk/Milk Substitutes,Milk (Shelf Stable)
"Haltbare Schlagsahne, ultrahocherhitzt, 30% Fett",Food/Beverage,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes Variety Packs,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes Variety Packs
Backfeste Puddingcreme,Food/Beverage,Bread/Bakery Products,Baking/Cooking Mixes/Supplies,Baking/Cooking Supplies (Shelf Stable)
Rittersport Rum Trauben Nuss,Food/Beverage,Confectionery/Sugar Sweetening Products,Confectionery Products,Chocolate and Chocolate/Sugar Candy Combinations - Confectionery
Ovomaltine crunchy,Food/Beverage,Confectionery/Sugar Sweetening Products,Confectionery Products,Chocolate and Chocolate/Sugar Candy Combinations - Confectionery
Haselnuss,Food/Beverage,Confectionery/Sugar Sweetening Products,Confectionery Products,Chocolate and Chocolate/Sugar Candy Combinations - Confectionery
Kidneybohnen Dampfgegart,Food/Beverage,Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Vegetables - Prepared/Processed,Vegetables - Prepared/Processed (Shelf Stable)
Raspel Schokolade,Food/Beverage,Confectionery/Sugar Sweetening Products,Confectionery Products,Chocolate and Chocolate/Sugar Candy Combinations - Confectionery
Basischer Kräutertee,Food/Beverage,Beverages,Tea and Infusions/Tisanes,Tea - Bags/Loose
Bio Goldmais,Food/Beverage,Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Vegetables - Prepared/Processed,Vegetables - Prepared/Processed (Shelf Stable)
Weihnachts-Chocolade Mandel,Food/Beverage,Confectionery/Sugar Sweetening Products,Confectionery Products,Chocolate and Chocolate/Sugar Candy Combinations - Confectionery
Tortenguss Erdbeer klein,Food/Beverage,Bread/Bakery Products,Baking/Cooking Mixes/Supplies,Baking/Cooking Mixes (Shelf Stable)
Tortenguss Erdbeer groß,Food/Beverage,Bread/Bakery Products,Baking/Cooking Mixes/Supplies,Baking/Cooking Mixes (Shelf Stable)
"Frische Weidemilch 3,5% Fett",Food/Beverage,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Milk/Milk Substitutes,Milk (Perishable)
Bio Sesam ungeschält,Food/Beverage,Nuts/Seeds - Unprepared/Unprocessed (In Shell),Nuts/Seeds - Unprepared/Unprocessed (In Shell),Nuts/Seeds - Unprepared/Unprocessed (In Shell)
Joghurt Drink Fettarm,Food/Beverage,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Yogurt/Yogurt Substitutes,Yogurt (Perishable)
Dessert Soße Vanielle Geschmack,Food/Beverage,Bread/Bakery Products,Baking/Cooking Mixes/Supplies,Baking/Cooking Mixes (Shelf Stable)
Chamgignon Cremesuppe,Food/Beverage,Prepared/Preserved Foods,Prepared Soups,Soups - Prepared (Shelf Stable)
Frühlingssuppe,Food/Beverage,Prepared/Preserved Foods,Prepared Soups,Soups - Prepared (Shelf Stable)
Thomy Mittelscharfer Delikatess Senf,Food/Beverage,Seasonings/Preservatives/Extracts,Sauces/Spreads/Dips/Condiments,Mustard (Shelf Stable)
Saltletts Pausen Cracker,Food/Beverage,Prepared/Preserved Foods,Snacks,Chips/Crisps/Snack Mixes - Natural/Extruded (Shelf Stable)
Haribo Goldbären,Food/Beverage,Confectionery/Sugar Sweetening Products,Confectionery Products,Sugar Candy/Sugar Candy Substitutes Confectionery
Milchmädchen Gezuckerte Kondensmilch,Food/Beverage,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Milk/Milk Substitutes,Milk (Shelf Stable)
Alnatura Rosinen,Food/Beverage,Fruits - Unprepared/Unprocessed (Shelf Stable),Fruits - Unprepared/Unprocessed (Shelf Stable),Fruit - Unprepared/Unprocessed (Shelf Stable)
Heinz Tomato Ketchup,Food/Beverage,Seasonings/Preservatives/Extracts,Sauces/Spreads/Dips/Condiments,Other Sauces Dipping/Condiments/Savoury Toppings/Savoury Spreads/Marinades (Shelf Stable)
Leibniz Minis Choco,Food/Beverage,Bread/Bakery Products,Biscuits/Cookies,Biscuits/Cookies (Shelf Stable)
Ritter Sport Haferkeks + Joghurt,Food/Beverage,Confectionery/Sugar Sweetening Products,Confectionery Products,Chocolate and Chocolate/Sugar Candy Combinations - Confectionery
Honig-Senf Dressing,Food/Beverage,Seasonings/Preservatives/Extracts,Sauces/Spreads/Dips/Condiments,Dressings/Dips (Shelf Stable)
Schlemmertöpfchen Scharfe Gürkchen,Food/Beverage,Vegetables (Non Leaf) - Unprepared/Unprocessed (Fresh),Cucumbers,Gherkins
Klare Fleischbrühe,Food/Beverage,Seasonings/Preservatives/Extracts,Herbs/Spices/Extracts,Stock/Bones (Shelf Stable)
"Dallmanns Ingwer-Salbei Bonbons""",Food/Beverage,Confectionery/Sugar Sweetening Products,Confectionery Products,Sugar Candy/Sugar Candy Substitutes Confectionery
Das Original,Food/Beverage,Bread/Bakery Products,Biscuits/Cookies,Biscuits/Cookies (Shelf Stable)
